,0,1,2
0,Cheirolepis,Actinolepis,0.520833
1,Lunaspis,Bothriolepis,0.625
2,Entelognathus,Bothriolepis,0.575
3,Guiyu,Dialipina,0.694444
4,Romundina,Entelognathus,0.636364
5,Wuttagoonaspis,Guiyu,0.633333
6,Lunaspis,Brindabellaspis,0.674419
7,Entelognathus,Cheirolepis,0.666667
8,Meemannia,Lunaspis,0.714286
9,Guiyu,Bothriolepis,0.578947
10,Lunaspis,Actinolepis,0.520833
11,Dialipina,Bothriolepis,0.631579
12,Moythomasia,Brindabellaspis,0.60274
13,Meemannia,Dialipina,0.689655
14,Moythomasia,Entelognathus,0.630435
15,Lunaspis,Eusthenopteron,0.75
16,Cowralepis,Actinolepis,0.689655
17,Wuttagoonaspis,Cowralepis,0.642857
18,Entelognathus,Brindabellaspis,0.695652
19,Eusthenopteron,Bothriolepis,0.625
20,Eurycaraspis,Brindabellaspis,0.619048
21,Eusthenopteron,Cowralepis,0.64
22,Lunaspis,Guiyu,0.590909
23,Dicksonosteus,Brindabellaspis,0.574074
24,Meemannia,Eurycaraspis,0.666667
25,Diandongpetalichthys,Cowralepis,0.666667
26,Romundina,Guiyu,0.535714
27,Guiyu,Eurycaraspis,0.627907
28,Entelognathus,Actinolepis,0.565217
29,Moythomasia,Actinolepis,0.543478
30,Wuttagoonaspis,Eusthenopteron,0.6875
31,Wuttagoonaspis,Entelognathus,0.555556
32,Meemannia,Cheirolepis,0.68
33,Guiyu,Cowralepis,0.666667
34,Dicksonosteus,Dialipina,0.702703
35,Meemannia,Entelognathus,0.678571
36,Meemannia,Dicksonosteus,0.76
37,Brindabellaspis,Bothriolepis,0.714286
38,Eurycaraspis,Cowralepis,0.785714
39,Wuttagoonaspis,Romundina,0.645161
40,Lunaspis,Dialipina,0.611111
41,Cowralepis,Buchanosteus,0.666667
42,Entelognathus,Dialipina,0.488372
43,Eusthenopteron,Eurycaraspis,0.555556
44,Entelognathus,Diandongpetalichthys,0.642857
45,Guiyu,Entelognathus,0.545455
46,Dicksonosteus,Cheirolepis,0.526316
47,Cowralepis,Cheirolepis,0.678571
48,Eurycaraspis,Bothriolepis,0.625
49,Diandongpetalichthys,Dialipina,0.560976
50,Wuttagoonaspis,Brindabellaspis,0.71875
51,Bothriolepis,Actinolepis,0.666667
52,Meemannia,Bothriolepis,0.730769
53,Diandongpetalichthys,Buchanosteus,0.682927
54,Eusthenopteron,Dicksonosteus,0.527273
55,Romundina,Moythomasia,0.642857
56,Guiyu,Brindabellaspis,0.47619
57,Dialipina,Brindabellaspis,0.657895
58,Eurycaraspis,Buchanosteus,0.571429
59,Guiyu,Dicksonosteus,0.56
60,Lunaspis,Entelognathus,0.571429
61,Cheirolepis,Brindabellaspis,0.666667
62,Romundina,Brindabellaspis,0.610169
63,Romundina,Eusthenopteron,0.596491
64,Romundina,Dicksonosteus,0.653846
65,Moythomasia,Dialipina,0.675676
66,Wuttagoonaspis,Meemannia,0.708333
67,Moythomasia,Diandongpetalichthys,0.707317
68,Eusthenopteron,Actinolepis,0.530612
69,Meemannia,Eusthenopteron,0.826087
70,Entelognathus,Cowralepis,0.633333
71,Wuttagoonaspis,Bothriolepis,0.578947
72,Eurycaraspis,Entelognathus,0.480769
73,Buchanosteus,Actinolepis,0.641026
74,Meemannia,Brindabellaspis,0.655172
75,Dicksonosteus,Diandongpetalichthys,0.536585
76,Diandongpetalichthys,Actinolepis,0.641026
77,Moythomasia,Meemannia,0.68
78,Meemannia,Cowralepis,0.62963
79,Eurycaraspis,Cheirolepis,0.568182
80,Cowralepis,Brindabellaspis,0.884615
81,Guiyu,Buchanosteus,0.771429
82,Buchanosteus,Brindabellaspis,0.756757
83,Eurycaraspis,Dicksonosteus,0.530612
84,Meemannia,Buchanosteus,0.777778
85,Diandongpetalichthys,Brindabellaspis,0.725
86,Moythomasia,Buchanosteus,0.717949
87,Buchanosteus,Bothriolepis,0.595238
88,Romundina,Meemannia,0.76
89,Moythomasia,Dicksonosteus,0.5
90,Dialipina,Cheirolepis,0.617647
91,Moythomasia,Eurycaraspis,0.666667
92,Cheirolepis,Buchanosteus,0.763158
93,Brindabellaspis,Actinolepis,0.607843
94,Guiyu,Eusthenopteron,0.508475
95,Dialipina,Cowralepis,0.59375
96,Dialipina,Actinolepis,0.714286
97,Romundina,Bothriolepis,0.675676
98,Wuttagoonaspis,Lunaspis,0.666667
99,Guiyu,Actinolepis,0.674419
100,Guiyu,Diandongpetalichthys,0.65
101,Guiyu,Cheirolepis,0.589286
102,Romundina,Buchanosteus,0.634146
103,Meemannia,Guiyu,0.75
104,Eusthenopteron,Entelognathus,0.636364
105,Wuttagoonaspis,Dicksonosteus,0.69697
106,Eusthenopteron,Brindabellaspis,0.590164
107,Eusthenopteron,Diandongpetalichthys,0.625
108,Moythomasia,Cowralepis,0.7
109,Cowralepis,Bothriolepis,0.714286
110,Diandongpetalichthys,Cheirolepis,0.581395
111,Dicksonosteus,Actinolepis,0.521739
112,Romundina,Actinolepis,0.586957
113,Lunaspis,Eurycaraspis,0.659574
114,Wuttagoonaspis,Dialipina,0.526316
115,Moythomasia,Lunaspis,0.681818
116,Eurycaraspis,Dialipina,0.631579
117,Entelognathus,Dicksonosteus,0.522727
118,Moythomasia,Cheirolepis,0.516129
119,Romundina,Eurycaraspis,0.591837
120,Moythomasia,Guiyu,0.430556
121,Wuttagoonaspis,Diandongpetalichthys,0.589744
122,Eusthenopteron,Cheirolepis,0.607143
123,Romundina,Dialipina,0.657895
124,Wuttagoonaspis,Cheirolepis,0.71875
125,Lunaspis,Cowralepis,0.821429
126,Wuttagoonaspis,Buchanosteus,0.564103
127,Romundina,Diandongpetalichthys,0.8
128,Lunaspis,Buchanosteus,0.666667
129,Eusthenopteron,Buchanosteus,0.72973
130,Romundina,Cowralepis,0.642857
131,Diandongpetalichthys,Bothriolepis,0.658537
132,Meemannia,Actinolepis,0.956522
133,Eurycaraspis,Diandongpetalichthys,0.763158
134,Wuttagoonaspis,Eurycaraspis,0.666667
135,Romundina,Cheirolepis,0.52459
136,Dicksonosteus,Buchanosteus,0.666667
137,Wuttagoonaspis,Actinolepis,0.757576
138,Cheirolepis,Bothriolepis,0.648649
139,Entelognathus,Buchanosteus,0.571429
140,Dicksonosteus,Bothriolepis,0.55
141,Meemannia,Diandongpetalichthys,0.586207
142,Lunaspis,Diandongpetalichthys,0.658537
143,Dicksonosteus,Cowralepis,0.68
144,Moythomasia,Eusthenopteron,0.619048
145,Eusthenopteron,Dialipina,0.722222
146,Dialipina,Buchanosteus,0.641026
147,Lunaspis,Cheirolepis,0.681818
148,Moythomasia,Bothriolepis,0.621622
149,Wuttagoonaspis,Moythomasia,0.8
150,Romundina,Lunaspis,0.673913
151,Eurycaraspis,Actinolepis,0.595745
152,Lunaspis,Dicksonosteus,0.571429
